id,caption,image_id,label
417812c5-0ce4-499d-b97d-4d28827239bc,Wet elephants shake water onto people bathing them.,394330,0
5ac91fa3-55f2-4cb3-8c8f-ad84f78e6b36,Two men holding tennis racquets on the court,130849,0
d2705b90-8347-4cab-a7a6-654540d9a489,A bird on a tree limb with mountains in the background,514790,0
a3b33fe7-3085-4433-9c18-8814803891b4,"A kitchen and dining room are featured along with a large dining room table, kitchen appliances and a chandelier. ",182096,0
1514b0e4-0665-45bc-ab32-52fce326cc29,A fruit stand has various fruits on the table.,68788,1
39154b7d-adb4-4b3f-9093-da865253c052,A baseball athlete getting ready to swing the bat.,318953,0
9f24fa87-2f5d-4d3a-b4a5-08dbcfe808f5,a baseball player is swinging a bat at a game,214937,0
d76222c0-1f60-4d62-973a-4bf019d88393,Several people are standing in front of TV monitors playing Wii games.,502613,0
490e3039-f9f5-45dd-bf9e-b18232263846,The baby lamb feeds in the open field as the mother peers forward.,419477,0
c293ea7d-18aa-43b0-89ca-aaa9b07a352e,A man with a surfboard wading into the ocean while a woman sits on the beach watching.,207250,0
b1b62299-b6d0-4799-9fb1-eaee6693dc20,A young girl in a helmet riding a skateboard.,107558,1
3b78e8fe-45d7-4375-b28d-74e6788a2f52,A white building shows through a glass window.,405811,0
5db3a9be-3766-4021-9a4e-d7974c428936,A kitchen with deep fryer and microwave as viewed from the table.,460673,0
d1e96bc3-dea9-436b-9794-5f7ceebb51df,Long electric freight train passing a station platform.,435069,0
47d37fa0-4fd1-4876-9329-983df7bd18b3,A clock sits at the top of a tan and gray tower.,141135,0
d2f06ca2-3fe3-4025-a2cb-de015cdebf1e,This is farmland servicing many herds of sheep.,471415,1
cd68187c-e605-4fc3-b3c5-eb14404eab81,A stop light hanging over a city street,392618,1
17fd7829-e544-4915-bb87-05714ef7516d,A tennis player jumps to return the ball to his opponent.,268881,0
51b14a6e-e5e5-43e5-8352-177cd7919fd4,The plane wing can be seen through the window. ,24352,0
49b3b485-8ca5-44e4-8cda-12b975f6a56e,A young boy holding a baseball bat during a game.,343227,1
9950d02b-fae5-4eb8-84c0-0b29a98ad319,A water closet showing a toilet with open lid,359140,1
df44818c-ad63-4dcb-b5ea-79bf77ad71fb,Two polices is standing in front of the metro bus.,219928,1
50d29f6c-a2ca-48b5-a8d0-ba203ca2794c,a tennis player swinging his racket to hit the ball,299676,1
765a6d45-7366-44f8-b9ef-8f10e689c665,Light traffic on a city street at dusk,300598,0
f20654c9-949d-4bc7-b71e-e9ac111163b4,A modern open concept kitchen and dining room.,314082,0
df4f220d-7861-4ae3-a49e-f9a028c137a5,a herd of cows in a field standing in a misty fog,486986,0
22722bec-a985-4982-a6b8-c6d68dd03bf7,Two people are standing next to each other and one in a black suit is talking at a podium.,496064,0
57fc469e-4c8f-4ff9-8707-e37b09bb15e4,a wooden table with silverware glasses and some food,465844,1
474c9af9-3aea-4106-b708-ca33f6ce0800,a woman is walking down the street with a rolling suitcase,27371,1
69d71e80-364d-4372-8e97-0648ec2ae699,A black dog holding a yellow frisbee in it's mouth.,558132,1
4f59d71c-521e-4dc4-b991-d2b3fa12391a,a slice of white cake with white frosting sitting on a plate,112818,1
c7aa7810-c721-4229-9744-ea6d38ec915a,A red electric train sitting on the tracks.,321725,1
735898c4-4f7b-4d90-99b5-f351c97f359a,A beach area with people on the sand and various kites flying overhead in the sky.,505562,1
6a8a50cc-7171-4811-80d1-efa97375df3a,Metropolitan commuter bus in traffic on street on wet pavement.,150552,1
4b3dc6fe-69fc-4c59-80a2-d947ff913b54,Two stuffed bears are perched on a window ledge.,48661,0
9ec05c6f-81b0-41aa-932b-090cbec5f1a7,"A plate of pizza, a wine glass and a glass of water on a table.",69693,0
8a2b9052-dcf0-462e-acb9-22c86c39f8e2,Commercial plane flying overhead on day with clear blue sky.,102137,0
6fc4cf53-02db-43df-b778-092e58cd0920,Filtered photograph of a man jumping on a skateboard.,195333,0
7abe19ae-f44a-46f2-8fc2-007bd3514aa1,a flock of sheep in a green pasture,11667,1
518d1c84-4df0-404e-9819-712dd060d5c4,a large bed sitting next to a wall with open windows,329988,0
892865ed-d102-4d44-ac75-3f1f999eb4f4,A soccer player is kicking the ball during a game.,154971,1
b396fd78-4a1f-483b-98e2-e49b1e4159e7,A meal of broccoli and cheese on a plate on a table.,564966,0
ebd6a5e4-f1dc-4e48-acc9-16467a38e9c7,A male professional tennis player serving the ball.,560891,1
09e772ac-0c3a-4174-b629-0429cfa7aeae,Four red double decker passenger buses on a paved surface.,298452,0
3f7812da-4835-4b2a-9111-0565555904c4,A skier in a red outfit skiing down a snow covered hill.,352757,1
a9fd2c91-f8a2-42c8-a94e-fdfcdb58d9ce,A purple commuter train at a train station.,392764,0
8a1dd2fb-e8aa-42d3-90de-cba8c2e715b1,A tennis player reaches to hit a tennis ball with his racquet. ,545812,1
b018034d-375c-440a-a9c0-94c8dea8b541,A bowl of food that includes vegetables and fried foods.,10936,0
da7f2b43-cba0-4e2c-a227-630a440df65a,"A bathroom features white, bowl sinks and a bathtub.",42086,1
764d93df-187d-472e-8b4b-603e243996ed,An adult lamb is flanked by two young lambs.,80300,0
2d4e5e50-7b47-4eb2-b416-fedbb543b210,A black bear climbing a tree in forest area.,347529,1
3506b45d-029e-4f5b-b9f1-2b39f949d153,Two people riding an elephant in the middle of a forest.,425822,0
7e06f48e-facd-4408-850c-1128dd69e64f,There are people that are walking on the street,223754,1
a0c4c8b1-dfe3-497e-b900-4bae0c0ab1bb,Two male soccer players engaged in heated competition.,194845,1
13703275-752b-4a15-80a1-e9aa4d6aff55,A boy wearing green playing tennis while people watch.,94526,0
760e32fc-724b-4bd0-b430-54834f5919b4,Nuts and dried fruits in a canister; carrots and celery in another; red grapefruit in yet another.,535817,0
4747c3c9-bc59-47ce-b627-30839f972d09,Male skateboarder grinds along a metal rail. ,434993,1
9cf1a409-4ece-4ceb-906c-2543e190ff06,Two snowboarders pose for a picture in front of a slope.,19828,0
5a48deb9-590d-4afa-9943-3662d9dad0e9,There is a large steeple with a clock just below it.,187901,1
bba767f4-b7c3-4f41-a6d1-6e1ef543c38c,A young surfer rides the side of a wave. ,140473,1
5de0bb77-4aa1-4dc0-bc06-1d2ee904c18a,A traffic signal is lit on the side of a city street.,104290,1
f24d80f7-fbb6-4245-be88-159c2f94b66a,The tall clock tower is built into the corner edge of the building.,126080,0
a637e47e-a911-49cb-812f-aa84928c6fac,Coach and young players in red shirts at baseball field.,52631,0
d3f8b858-cc8e-40eb-84c9-06d1d7c6dd1b,"A living area with with chairs, counter and a television.",486638,0
38ba9e3f-18ff-4df1-a942-ec2d862ba363,"During a baseball game, a batter prepares to swing.",357532,1
48af7d83-370c-45ad-8281-8fa424b15768,Broccoli and other vegetables displayed in a market.,330449,1
7a962581-f799-47b6-909e-e71fb37df7e5,A sidewalk with a large grouping of people.,318175,1
a9b0cedd-8c92-4dc3-a79d-43feb341e81b,Skier on flat wide open snow covered area.,541514,0
9efd7559-cbe6-467e-abdc-24ceb139a2e3,An adult zebra and a baby zebra stand in foliage.,66711,0
eda45bba-f18e-423a-afaf-f661fba476ec,Several sheep and goats in a fenced in area.,555520,1
a6c362c3-dc66-43f6-be99-bee87cd815a4,A white toilet sitting next to a bathroom sink.,203887,1
577d2c79-6a56-4958-ad1a-f8184a548ca7,Man surfing on wave while another waits on surfboard in distance,134375,0
76587bdc-d761-4b2a-9f01-725729a8580f,A tennis player swings her racket at the ball.,449903,1
57b68e1a-6302-4d39-831e-ab41b4497832,Cows grazing in a field on a sunny day ,81595,1
871687f3-fe07-479c-9c7c-2d16307655e9,"A kitchen with a sink, stove, and refrigerator.",220250,0
bfb3e1ad-2a7f-4649-b23a-942bedb27d85,a person feeding birds near a bike ,293949,0
621ec069-4840-47f3-a50d-b85765652f62,A fruit stand has various fruits on the table.,509084,1
ea9ad952-18a4-4203-8b5d-75562cb62640,Cows at various spots in a large grassy field,263929,1
3de0e5c5-29fb-40c2-a8f5-c6fbae4edc1f,Traffic light with blue sky streaked with clouds backdrop.,289293,1
513f43cb-e554-4be7-9a1a-b8a02ff4e630,Young man with backpack holding skateboard going down escalator.,77402,0
fc3e7500-239e-47e1-976e-5242e7ab0d9d,A banana tree filled with lots of unripe bananas.,346932,1
551530fd-66cd-4093-831e-2862acf7be4f,Billboard celebrating ten years of film on a building.,208028,0
0fcf0302-50e8-400c-be88-c846ea061c7f,A surfer in a wetsuit riding his board on a wave.,282669,0
a9ed6c83-48ec-4e9a-a76a-065ed4df6229,A waiter prepares to serve three pizzas on plates.,429065,0
89d7faf4-d196-4238-afee-3fae9664ba70,Two giraffes stand in a grassy area with trees in the background.,91784,1
27efa23f-4e4f-42df-87bd-12830fd754e2,"Delicious looking plate of beef, broccoli, and dumplings",79530,0
6c111b2b-aeee-44a1-b489-3791ec807091,"Legs of man with tattoos, standing on towel with cat, in bathroom. ",352082,0
f711f1e1-eaa2-474d-8166-c198d762a806,Elephant standing in large pool of water in native area.,218312,1
f818ed76-ef90-40f0-ab5a-1d6166c5fb84,Man driving a cart pulled by draught horses at a fair,165100,0
7309e729-50fd-42a1-98a2-9b7134f76c81,An individual skiing at a mountain ski resort. ,403737,1
0ec56ad8-7eda-45a7-9552-1a71ca829de2,A group of skiers on skis at a mountain resort.,238427,1
02ad830a-a60f-4084-8764-972661a55b0a,"A bathroom with sink, and toilet are shown in the image.",331698,1
37a2cec9-54e2-42ab-9a2e-25dc5975aafa,A person is holding a orange and white electronic device.,212241,0
e6de0361-fdd3-4398-bb39-e3d89636a64f,a blue and white airplane in the blue sky,448859,1
7c8ecc0e-e68c-4249-aa23-9ad81a7f7ca8,a person skiiing down a hill by a blue gate,86922,0
